R_fighter,B_fighter,Winner,Excitement
Beneil Dariush,Mateusz Gamrot,Beneil Dariush,26.199
Volkan Oezdemir,Nikita Krylov,Nikita Krylov,13.393
Makhmud Muradov,Caio Borralho,Caio Borralho,18.209
Belal Muhammad,Sean Brady,Belal Muhammad,31.024
Aljamain Sterling,TJ Dillashaw,Aljamain Sterling,15.627
Katlyn Chookagian,Manon Fiorot,Manon Fiorot,24.401
Muhammad Mokaev,Malcolm Gordon,Muhammad Mokaev,19.136
Charles Oliveira,Islam Makhachev,Islam Makhachev,20.269
Abubakar Nurmagomedov,Gadzhi Omargadzhiev,Abubakar Nurmagomedov,22.371
Karol Rosa,Lina Lansberg,Karol Rosa,14.544
Armen Petrosyan,AJ Dobson,Armen Petrosyan,27.71
Raphael Assuncao,Victor Henry,Raphael Assuncao,20.137
Jordan Wright,Dusko Todorovic,Dusko Todorovic,16.478
Alexa Grasso,Viviane Araujo,Alexa Grasso,22.855
Mana Martinez,Brandon Davis,Mana Martinez,20.684
Joanderson Brito,Lucas Alexander,Joanderson Brito,15.855
Cub Swanson,Jonathan Martinez,Jonathan Martinez,19.944
Nick Maximov,Jacob Malkoun,Jacob Malkoun,18.577
Tatsuro Taira,CJ Vergara,Tatsuro Taira,21.825
Misha Cirkunov,Alonzo Menifield,Alonzo Menifield,24.923
Piera Rodriguez,Sam Hughes,Piera Rodriguez,27.591
Mike Jackson,Pete Rodriguez,Pete Rodriguez,28.082
John Castaneda,Daniel Santos,Daniel Santos,22.231
Mackenzie Dern,Yan Xiaonan,Yan Xiaonan,16.958
Sodiq Yusuff,Don Shainis,Sodiq Yusuff,25.225
Raoni Barcelos,Trevin Jones,Raoni Barcelos,16.786
Ilir Latifi,Aleksei Oleinik,Ilir Latifi,17.136
Mike Davis,Viacheslav Borshchev,Mike Davis,18.511
Joaquim Silva,Jesse Ronson,Joaquim Silva,22.375
Randy Brown,Francisco Trinaldo,Randy Brown,16.604
Krzysztof Jotko,Brendan Allen,Brendan Allen,9.754
Guido Cannetti,Randy Costa,Guido Cannetti,20.417
Julija Stoliarenko,Chelsea Chandler,Chelsea Chandler,18.556
Anthony Hernandez,Marc-Andre Barriault,Anthony Hernandez,16.415
Andre Fili,Bill Algeo,Andre Fili,17.233
Joe Pyfer,Alen Amedovski,Joe Pyfer,21.94
Cory Sandhagen,Song Yadong,Cory Sandhagen,16.845
Damon Jackson,Pat Sabatini,Damon Jackson,16.477
Trevin Giles,Louis Cosce,Trevin Giles,21.269
Chidi Njokuani,Gregory Rodrigues,Gregory Rodrigues,19.075
Trey Ogden,Daniel Zellhuber,Trey Ogden,26.569
Denise Gomes,Loma Lookboonmee,Loma Lookboonmee,14.3
Tony Gravely,Javid Basharat,Javid Basharat,22.316
Tanner Boser,Rodrigo Nascimento,Rodrigo Nascimento,19.972
Mariya Agapova,Gillian Robertson,Gillian Robertson,13.081
Nikolas Motta,Cameron VanCamp,Nikolas Motta,22.01
Johnny Walker,Ion Cutelaba,Johnny Walker,15.625
Hakeem Dawodu,Julian Erosa,Julian Erosa,21.726
Irene Aldana,Macy Chiasson,Irene Aldana,20.11
Li Jingliang,Daniel Rodriguez,Daniel Rodriguez,26.163
Jailton Almeida,Anton Turkalj,Jailton Almeida,23.286
Jake Collier,Chris Barnett,Chris Barnett,18.658
Khamzat Chimaev,Kevin Holland,Khamzat Chimaev,9.777
Melissa Martinez,Elise Reed,Elise Reed,25.517
Norma Dumont,Danyelle Wolf,Norma Dumont,22.783
Nate Diaz,Tony Ferguson,Nate Diaz,22.028
Darian Weeks,Yohan Lainesse,Yohan Lainesse,24.636
Denis Tiuliulin,Jamie Pickett,Denis Tiuliulin,20.2
Chad Anheliger,Alatengheili, Alatengheili,17.286
Ciryl Gane,Tai Tuivasa,Ciryl Gane,29.113
Robert Whittaker,Marvin Vettori,Robert Whittaker,19.653
Charles Jourdain,Nathaniel Wood,Nathaniel Wood,16.928
Nassourdine Imavov,Joaquin Buckley,Nassourdine Imavov,16.929
William Gomis,Jarno Errens,William Gomis,16.695
Abus Magomedov,Dustin Stoltzfus,Abus Magomedov,21.179
Alessio Di Chirico,Roman Kopylov,Roman Kopylov,21.244
John Makdessi,Nasrat Haqparast,Nasrat Haqparast,19.399
Stephanie Egger,Ailin Perez,Stephanie Egger,18.062
Fares Ziam,Michal Figlak,Fares Ziam,20.959
Benoit Saint Denis,Gabriel Miranda,Benoit Saint Denis,21.116
Khalid Taha,Cristian Quinonez,Cristian Quinonez,20.217
Kamaru Usman,Leon Edwards,Leon Edwards,53.486
Tyson Pedro,Harry Hunsucker,Tyson Pedro,22.717
Marcin Tybura,Alexandr Romanov,Marcin Tybura,22.901
Jose Aldo,Merab Dvalishvili,Merab Dvalishvili,18.032
Paulo Costa,Luke Rockhold,Paulo Costa,24.564
Sean Woodson,Luis Saldana,,24.695
Wu Yanan,Lucie Pudilova,Lucie Pudilova,16.615
 Aoriqileng,Jay Perrin, Aoriqileng,18.063
AJ Fletcher,Ange Loosa,Ange Loosa,19.982
Daniel Lacerda,Victor Altamirano,Victor Altamirano,19.758
Leonardo Santos,Jared Gordon,Jared Gordon,18.277
Amir Albazi,Francisco Figueiredo,Amir Albazi,24.33
Angela Hill,Loopy Godinez,Angela Hill,22.527
Nate Landwehr,David Onama,Nate Landwehr,21.893
Devin Clark,Azamat Murzakanov,Azamat Murzakanov,22.053
Martin Buday,Lukasz Brzeski,Martin Buday,27.517
Priscila Cachoeira,Ariane Lipski,Priscila Cachoeira,19.336
Bruno Silva,Gerald Meerschaert,Gerald Meerschaert,17.29
Marlon Vera,Dominick Cruz,Marlon Vera,22.437
Yazmin Jauregui,Iasmin Lucindo,Yazmin Jauregui,26.631
Cynthia Calvillo,Nina Nunes,Nina Nunes,16.924
Ode Osbourne,Tyson Nam,Tyson Nam,20.692
Gabriel Benitez,Charlie Ontiveros,Gabriel Benitez,18.634
Jason Witt,Josh Quinlan,Josh Quinlan,20.199
Youssef Zalal,Da'Mon Blackshear,,12.534
Bryan Battle,Takashi Sato,Bryan Battle,27.927
Augusto Sakai,Serghei Spivac,Serghei Spivac,9.757
Thiago Santos,Jamahal Hill,Jamahal Hill,24.279
Mohammed Usman,Zac Pauga,Mohammed Usman,30.192
Brogan Walker,Juliana Miller,Juliana Miller,20.232
Terrance McKinney,Erick Gonzalez,Terrance McKinney,17.701
Sam Alvey,Michal Oleksiejczuk,Michal Oleksiejczuk,12.801
Vicente Luque,Geoff Neal,Geoff Neal,22.113
Mayra Bueno Silva,Stephanie Egger,Mayra Bueno Silva,23.692
Cory McKenna,Miranda Granger,Cory McKenna,15.291
Alex Morono,Matthew Semelsberger,Alex Morono,19.476
Don'Tale Mayes,Hamdy Abdelwahab,,15.699
Derrick Lewis,Sergei Pavlovich,Sergei Pavlovich,29.551
Magomed Ankalaev,Anthony Smith,Magomed Ankalaev,24.696
Brandon Moreno,Kai Kara-France,Brandon Moreno,48.424
Drew Dober,Rafael Alves,Drew Dober,18.792
Julianna Pena,Amanda Nunes,Amanda Nunes,43.35
Joselyne Edwards,Ji Yeon Kim,Joselyne Edwards,18.897
Nicolae Negumereanu,Ihor Potieria,Nicolae Negumereanu,27.652
Alexandre Pantoja,Alex Perez,Alexandre Pantoja,15.872
Orion Cosce,Blood Diamond,Orion Cosce,18.685
Drakkar Klose,Rafa Garcia,Drakkar Klose,26.144
Michael Morales,Adam Fugitt,Michael Morales,31.002
Jack Hermansson,Chris Curtis,Jack Hermansson,20.119
Paddy Pimblett,Jordan Leavitt,Paddy Pimblett,18.997
Curtis Blaydes,Tom Aspinall,Curtis Blaydes,26.719
Nikita Krylov,Alexander Gustafsson,Nikita Krylov,21.571
Mason Jones,Ludovit Klein,Ludovit Klein,19.768
Paul Craig,Volkan Oezdemir,Volkan Oezdemir,14.503
Makwan Amirkhani,Jonathan Pearce,Jonathan Pearce,14.371
Marc Diakiese,Damir Hadzovic,Marc Diakiese,8.518
Molly McCann,Hannah Goldy,Molly McCann,15.479
Nathaniel Wood,Charles Rosa,Nathaniel Wood,20.391
Muhammad Mokaev,Charles Johnson,Muhammad Mokaev,20.726
Mandy Bohm,Victoria Leonardo,Victoria Leonardo,20.182
Jai Herbert,Kyle Nelson,Jai Herbert,16.099
Claudio Silva,Nicolas Dalby,Nicolas Dalby,14.235
Shane Burgos,Charles Jourdain,Shane Burgos,17.33
Matt Schnell,Sumudaerji,Matt Schnell,17.657
Ricky Simon,Jack Shore,Ricky Simon,26.802
Punahele Soriano,Dalcha Lungiambula,Punahele Soriano,20.605
Michelle Waterson-Gomez,Amanda Lemos,Amanda Lemos,23.783
Lauren Murphy,Miesha Tate,Lauren Murphy,20.636
Li Jingliang,Muslim Salikhov,Li Jingliang,23.326
Dustin Jacoby,Da Woon Jung,Dustin Jacoby,24.53
Bill Algeo,Herbert Burns,Bill Algeo,15.793
Jessica Penne,Emily Ducote,Emily Ducote,19.496
Dwight Grant,Dustin Stoltzfus,Dustin Stoltzfus,18.637
Brian Ortega,Yair Rodriguez,Yair Rodriguez,22.178
Douglas Silva de Andrade,Said Nurmagomedov,Said Nurmagomedov,22.424
Aiemann Zahabi,Ricky Turcios,Aiemann Zahabi,25.907
Cody Brundage,Tresean Gore,Cody Brundage,21.546
Caio Borralho,Armen Petrosyan,Caio Borralho,23.16
Jared Vanderaa,Chase Sherman,Chase Sherman,21.978
Michael Johnson,Jamie Mullarkey,Jamie Mullarkey,19.28
Rafael Dos Anjos,Rafael Fiziev,Rafael Fiziev,18.844
Antonina Shevchenko,Cortney Casey,Antonina Shevchenko,16.783
Ronnie Lawrence,Saidyokub Kakhramonov,Saidyokub Kakhramonov,19.007
Kennedy Nzechukwu,Karl Roberson,Kennedy Nzechukwu,9.263
David Onama,Garrett Armfield,David Onama,20.473
Brad Riddell,Jalin Turner,Jalin Turner,24.746
Ian Garry,Gabe Green,Ian Garry,28.97
Israel Adesanya,Jared Cannonier,Israel Adesanya,25.988
Sean Strickland,Alex Pereira,Alex Pereira,32.202
Robbie Lawler,Bryan Barberena,Bryan Barberena,23.709
Jim Miller,Donald Cerrone,Jim Miller,49.2
Pedro Munhoz,Sean O'Malley,,25.0
Alexander Volkanovski,Max Holloway,Alexander Volkanovski,55.193
Jessica-Rose Clark,Julija Stoliarenko,Julija Stoliarenko,18.953
Jessica Eye,Maycee Barber,Maycee Barber,18.229
Uriah Hall,Andre Muniz,Andre Muniz,9.59
Brad Tavares,Dricus Du Plessis,Dricus Du Plessis,24.979
Shayilan Nuerdanbieke,TJ Brown,Shayilan Nuerdanbieke,13.658
Nate Maness,Umar Nurmagomedov,Umar Nurmagomedov,20.7
Carlos Ulberg,Tafon Nchukwi,Carlos Ulberg,33.59
Neil Magny,Shavkat Rakhmonov,Shavkat Rakhmonov,17.054
Thiago Moises,Christos Giagos,Thiago Moises,13.028
Chris Curtis,Rodolfo Vieira,Chris Curtis,28.31
Josh Parisian,Alan Baudot,Josh Parisian,19.213
Arman Tsarukyan,Mateusz Gamrot,Mateusz Gamrot,28.837
Brian Kelleher,Mario Bautista,Mario Bautista,17.847
Raulian Paiva,Sergey Morozov,Sergey Morozov,18.674
Vanessa Demopoulos,Jinh Yu Frey,Vanessa Demopoulos,18.08
JP Buys,Cody Durden,Cody Durden,20.494
Julian Marquez,Gregory Rodrigues,Gregory Rodrigues,19.633
Tim Means,Kevin Holland,Kevin Holland,17.812
Court McGee,Jeremiah Wells,Jeremiah Wells,22.599
Calvin Kattar,Josh Emmett,Josh Emmett,23.596
Adrian Yanez,Tony Kelley,Adrian Yanez,24.492
Damir Ismagulov,Guram Kutateladze,Damir Ismagulov,29.69
Joaquin Buckley,Albert Duraev,Joaquin Buckley,16.001
Jasmine Jasudavicius,Natalia Silva,Natalia Silva,17.445
Maria Oliveira,Gloria de Paula,Maria Oliveira,18.143
Eddie Wineland,Cody Stamann,Cody Stamann,21.002
Roman Dolidze,Kyle Daukaus,Roman Dolidze,24.969
Phil Hawes,Deron Winn,Phil Hawes,24.506
Ricardo Ramos,Danny Chavez,Ricardo Ramos,18.287
Glover Teixeira,Jiri Prochazka,Jiri Prochazka,19.421
Zhang Weili,Joanna Jedrzejczyk,Zhang Weili,51.315
 Maheshate,Steve Garcia, Maheshate,17.379
Valentina Shevchenko,Taila Santos,Valentina Shevchenko,23.868
SeungWoo Choi,Josh Culibao,Josh Culibao,20.541
Jack Della Maddalena,Ramazan Emeev,Jack Della Maddalena,22.029
Ramona Pascual,Joselyne Edwards,Joselyne Edwards,22.937
Kyung Ho Kang,Batgerel Danaa,Kyung Ho Kang,24.735
Brendan Allen,Jacob Malkoun,Brendan Allen,16.476
Liang Na,Silvana Gomez Juarez,Silvana Gomez Juarez,17.888
Andre Fialho,Jake Matthews,Jake Matthews,20.772
Alexander Volkov,Jairzinho Rozenstruik,Alexander Volkov,23.374
Michael Trizano,Lucas Almeida,Lucas Almeida,26.916
Felice Herrig,Karolina Kowalkiewicz,Karolina Kowalkiewicz,46.498
Dan Ige,Movsar Evloev,Movsar Evloev,21.986
Joe Solecki,Alex Da Silva,Joe Solecki,14.435
Alonzo Menifield,Askar Mozharov,Alonzo Menifield,10.762
Ode Osbourne,Zarrukh Adashev,Ode Osbourne,21.965
Damon Jackson,Dan Argueta,Damon Jackson,17.627
Karine Silva,Poliana Botelho,Karine Silva,17.503
Niklas Stolze,Benoit Saint Denis,Benoit Saint Denis,20.906
Johnny Munoz,Tony Gravely,Tony Gravely,21.189
Jeff Molina,Zhalgas Zhumagulov,Jeff Molina,17.289
Rinat Fakhretdinov,Andreas Michailidis,Rinat Fakhretdinov,18.917
Erin Blanchfield,JJ Aldrich,Erin Blanchfield,24.898
Chidi Njokuani,Dusko Todorovic,Chidi Njokuani,19.068
Santiago Ponzinibbio,Michel Pereira,Michel Pereira,22.872
Joseph Holmes,Alen Amedovski,Joseph Holmes,21.424
Omar Morales,Uros Medic,Uros Medic,30.073
Polyana Viana,Tabatha Ricci,Tabatha Ricci,12.791
Holly Holm,Ketlen Vieira,Ketlen Vieira,21.957
Jailton Almeida,Parker Porter,Jailton Almeida,9.973
Jonathan Martinez,Vince Morales,Jonathan Martinez,21.528
Eryk Anders,JunYong Park,JunYong Park,17.69
Chase Hooper,Felipe Colares,Chase Hooper,16.496
Elise Reed,Sam Hughes,Sam Hughes,10.796
Ryan Spann,Ion Cutelaba,Ryan Spann,11.158
Michael Johnson,Alan Patrick,Michael Johnson,22.368
Katlyn Chookagian,Amanda Ribas,Katlyn Chookagian,17.001
Jake Hadley,Allan Nascimento,Allan Nascimento,13.076
Jan Blachowicz,Aleksandar Rakic,Jan Blachowicz,18.578
Davey Grant,Louis Smolka,Davey Grant,20.062
Frank Camacho,Manuel Torres,Manuel Torres,24.891
Tatsuro Taira,Carlos Candelario,Tatsuro Taira,25.393
Virna Jandiroba,Angela Hill,Virna Jandiroba,11.598
Viviane Araujo,Andrea Lee,Viviane Araujo,13.088
Nick Maximov,Andre Petroski,Andre Petroski,20.849
Francisco Trinaldo,Danny Roberts,Francisco Trinaldo,18.168
Rose Namajunas,Carla Esparza,Carla Esparza,45.881
Macy Chiasson,Norma Dumont,Macy Chiasson,20.871
Brandon Royval,Matt Schnell,Brandon Royval,12.567
Charles Oliveira,Justin Gaethje,Charles Oliveira,25.094
Randy Brown,Khaos Williams,Randy Brown,21.484
Michael Chandler,Tony Ferguson,Michael Chandler,15.513
Andre Fialho,Cameron VanCamp,Andre Fialho,26.149
Mauricio Rua,Ovince Saint Preux,Ovince Saint Preux,52.301
Kleidison Rodrigues,CJ Vergara,CJ Vergara,17.094
Blagoy Ivanov,Marcos Rogerio de Lima,Blagoy Ivanov,17.538
Ariane Carnelossi,Loopy Godinez,Loopy Godinez,17.05
Journey Newson,Fernie Garcia,Journey Newson,22.612
Tracy Cortez,Melissa Gatto,Tracy Cortez,22.307
Daniel Lacerda,Francisco Figueiredo,Francisco Figueiredo,24.632
Krzysztof Jotko,Gerald Meerschaert,Krzysztof Jotko,15.527
Darren Elkins,Tristan Connelly,Darren Elkins,14.88
Rob Font,Marlon Vera,Marlon Vera,22.355
Andre Fili,Joanderson Brito,Joanderson Brito,20.4
Gabe Green,Yohan Lainesse,Gabe Green,25.159
Alexandr Romanov,Chase Sherman,Alexandr Romanov,14.383
Natan Levy,Mike Breeden,Natan Levy,24.707
Andrei Arlovski,Jake Collier,Andrei Arlovski,20.211
Jared Gordon,Grant Dawson,Grant Dawson,20.851
Gina Mazany,Shanna Young,Shanna Young,19.574
Clay Guida,Claudio Puelles,Claudio Puelles,21.101
Jordan Wright,Marc-Andre Barriault,Marc-Andre Barriault,23.556
Maycee Barber,Montana De La Rosa,Maycee Barber,16.76
Tyson Pedro,Ike Villanueva,Tyson Pedro,22.654
Amanda Lemos,Jessica Andrade,Jessica Andrade,22.354
 Aoriqileng,Cameron Else, Aoriqileng,14.948
Lando Vannata,Charles Jourdain,Charles Jourdain,17.301
Dwight Grant,Sergey Khandozhko,Sergey Khandozhko,18.52
Preston Parsons,Evan Elder,Preston Parsons,22.712
Dean Barry,Mike Jackson,Mike Jackson,24.072
Marcin Prachnio,Philipe Lins,Philipe Lins,18.306
Mounir Lazzez,Ange Loosa,Mounir Lazzez,27.503
Miguel Baeza,Andre Fialho,Andre Fialho,24.897
Vicente Luque,Belal Muhammad,Belal Muhammad,48.034
Caio Borralho,Gadzhi Omargadzhiev,Caio Borralho,25.192
Pat Sabatini,TJ Laramie,Pat Sabatini,12.303
Lina Lansberg,Pannie Kianzad,Pannie Kianzad,15.384
Devin Clark,William Knight,Devin Clark,18.045
Mayra Bueno Silva,Wu Yanan,Mayra Bueno Silva,19.661
Chris Barnett,Martin Buday,Martin Buday,18.719
Rafa Garcia,Jesse Ronson,Rafa Garcia,18.282
Drakkar Klose,Brandon Jenkins,Drakkar Klose,22.584
 Alatengheili,Kevin Croom, Alatengheili,20.145
Jordan Leavitt,Trey Ogden,Jordan Leavitt,23.362
Istela Nunes,Sam Hughes,Sam Hughes,18.761
Alexander Volkanovski,Chan Sung Jung,Alexander Volkanovski,26.219
Aspen Ladd,Raquel Pennington,Raquel Pennington,20.262
Aljamain Sterling,Petr Yan,Aljamain Sterling,51.889
Gilbert Burns,Khamzat Chimaev,Khamzat Chimaev,29.711
Vinc Pichel,Mark Madsen,Mark Madsen,27.508
Ian Garry,Darian Weeks,Ian Garry,31.832
Mackenzie Dern,Tecia Torres,Mackenzie Dern,16.298
Aleksei Oleinik,Jared Vanderaa,Aleksei Oleinik,13.474
Anthony Hernandez,Josh Fremd,Anthony Hernandez,15.419
Julio Arce,Daniel Santos,Julio Arce,24.996
Piera Rodriguez,Kay Hansen,Piera Rodriguez,22.143
Mickey Gall,Mike Malott,Mike Malott,25.131
Matt Brown,Bryan Barberena,Bryan Barberena,19.199
Neil Magny,Max Griffin,Neil Magny,16.265
Joanne Wood,Alexa Grasso,Alexa Grasso,18.739
Chris Gutierrez,Batgerel Danaa,Chris Gutierrez,23.717
Sara McMann,Karol Rosa,Sara McMann,14.806
Curtis Blaydes,Chris Daukaus,Curtis Blaydes,22.873
Aliaskhab Khizriev,Denis Tiuliulin,Aliaskhab Khizriev,24.904
Marc Diakiese,Viacheslav Borshchev,Marc Diakiese,18.552
Jennifer Maia,Manon Fiorot,Manon Fiorot,22.373
Askar Askarov,Kai Kara-France,Kai Kara-France,22.499
Matheus Nicolau,David Dvorak,Matheus Nicolau,23.329
Luis Saldana,Bruno Souza,Luis Saldana,23.17
Paddy Pimblett,Kazula Vargas,Paddy Pimblett,12.708
Jai Herbert,Ilia Topuria,Ilia Topuria,21.791
Alexander Volkov,Tom Aspinall,Tom Aspinall,21.131
Molly McCann,Luana Carolina,Molly McCann,19.745
Mike Grundy,Makwan Amirkhani,Makwan Amirkhani,4.586
Arnold Allen,Dan Hooker,Arnold Allen,28.234
Shamil Abdurakhimov,Sergei Pavlovich,Sergei Pavlovich,25.769
Cory McKenna,Elise Reed,Elise Reed,22.373
Gunnar Nelson,Takashi Sato,Gunnar Nelson,17.447
Nikita Krylov,Paul Craig,Paul Craig,13.153
Muhammad Mokaev,Cody Durden,Muhammad Mokaev,24.111
Jack Shore,Timur Valiev,Jack Shore,30.069
Sodiq Yusuff,Alex Caceres,Sodiq Yusuff,20.874
Thiago Santos,Magomed Ankalaev,Magomed Ankalaev,26.025
Drew Dober,Terrance McKinney,Drew Dober,15.645
JJ Aldrich,Gillian Robertson,JJ Aldrich,18.624
Khalil Rountree Jr.,Karl Roberson,Khalil Rountree Jr.,20.873
Marlon Moraes,Song Yadong,Song Yadong,20.01
Matthew Semelsberger,AJ Fletcher,Matthew Semelsberger,18.559
Alex Pereira,Bruno Silva,Alex Pereira,23.916
Damon Jackson,Kamuela Kirk,Damon Jackson,12.948
Dalcha Lungiambula,Cody Brundage,Cody Brundage,16.356
Sabina Mazo,Miranda Maverick,Miranda Maverick,11.231
Trevin Jones,Javid Basharat,Javid Basharat,27.872
Tafon Nchukwi,Azamat Murzakanov,Azamat Murzakanov,32.31
Kris Moutinho,Guido Cannetti,Guido Cannetti,21.353
Edson Barboza,Bryce Mitchell,Bryce Mitchell,18.083
Rafael Dos Anjos,Renato Moicano,Rafael Dos Anjos,15.403
Jalin Turner,Jamie Mullarkey,Jalin Turner,19.152
Kevin Holland,Alex Oliveira,Kevin Holland,23.262
Nicolae Negumereanu,Kennedy Nzechukwu,Nicolae Negumereanu,26.752
Colby Covington,Jorge Masvidal,Colby Covington,14.796
Brian Kelleher,Umar Nurmagomedov,Umar Nurmagomedov,17.151
Serghei Spivac,Greg Hardy,Serghei Spivac,15.225
Maryna Moroz,Mariya Agapova,Maryna Moroz,16.726
Marina Rodriguez,Yan Xiaonan,Marina Rodriguez,27.09
Tim Elliott,Tagir Ulanbekov,Tim Elliott,22.515
Dustin Jacoby,Michal Oleksiejczuk,Dustin Jacoby,17.024
Devonte Smith,Ludovit Klein,Ludovit Klein,18.666
Terrance McKinney,Fares Ziam,Terrance McKinney,15.52
Armen Petrosyan,Gregory Rodrigues,Armen Petrosyan,27.643
Misha Cirkunov,Wellington Turman,Wellington Turman,14.814
Islam Makhachev,Bobby Green,Islam Makhachev,21.099
Josiane Nunes,Ramona Pascual,Josiane Nunes,24.943
Ji Yeon Kim,Priscila Cachoeira,Priscila Cachoeira,21.461
Arman Tsarukyan,Joel Alvarez,Arman Tsarukyan,22.817
 Rongzhu,Ignacio Bahamondes,Ignacio Bahamondes,19.534
Victor Altamirano,Carlos Hernandez,Carlos Hernandez,32.396
Alejandro Perez,Jonathan Martinez,Jonathan Martinez,20.71
Ramiz Brahimaj,Micheal Gillmore,Ramiz Brahimaj,4.204
Gabriel Benitez,David Onama,David Onama,26.653
Kyle Daukaus,Jamie Pickett,Kyle Daukaus,15.848
Parker Porter,Alan Baudot,Parker Porter,20.456
Joaquin Buckley,Abdul Razak Alhassan,Joaquin Buckley,14.857
Jessica-Rose Clark,Stephanie Egger,Stephanie Egger,11.474
Diana Belbita,Gloria de Paula,Gloria de Paula,14.663
Jim Miller,Nikolas Motta,Jim Miller,21.96
Mario Bautista,Jay Perrin,Mario Bautista,17.572
Jonathan Pearce,Christian Rodriguez,Jonathan Pearce,16.379
Chas Skelly,Mark Striegl,Chas Skelly,16.608
Johnny Walker,Jamahal Hill,Jamahal Hill,24.71
Chad Anheliger,Jesse Strader,Chad Anheliger,19.091
Andrei Arlovski,Jared Vanderaa,Andrei Arlovski,19.639
Alexander Hernandez,Renato Moicano,Renato Moicano,18.735
Derrick Lewis,Tai Tuivasa,Tai Tuivasa,17.271
Bobby Green,Nasrat Haqparast,Bobby Green,22.45
Israel Adesanya,Robert Whittaker,Israel Adesanya,53.244
Jared Cannonier,Derek Brunson,Jared Cannonier,19.963
Kyler Phillips,Marcelo Rojo,Kyler Phillips,20.601
Jeremiah Wells,Blood Diamond,Jeremiah Wells,16.292
Mana Martinez,Ronnie Lawrence,Ronnie Lawrence,23.542
AJ Dobson,Jacob Malkoun,Jacob Malkoun,23.468
Roxanne Modafferi,Casey O'Neill,Casey O'Neill,26.817
Douglas Silva de Andrade,Sergey Morozov,Douglas Silva de Andrade,20.218
Carlos Ulberg,Fabio Cherant,Carlos Ulberg,26.012
William Knight,Maxim Grishin,Maxim Grishin,19.265
Sam Alvey,Brendan Allen,Brendan Allen,20.775
Jack Hermansson,Sean Strickland,Sean Strickland,23.982
Hakeem Dawodu,Michael Trizano,Hakeem Dawodu,29.92
Punahele Soriano,Nick Maximov,Nick Maximov,29.365
Shavkat Rakhmonov,Carlston Harris,Shavkat Rakhmonov,23.182
Tresean Gore,Bryan Battle,Bryan Battle,33.201
Chidi Njokuani,Marc-Andre Barriault,Chidi Njokuani,25.803
Julian Erosa,Steven Peterson,Julian Erosa,21.551
Miles Johns,John Castaneda,John Castaneda,24.536
Jailton Almeida,Danilo Marques,Jailton Almeida,11.566
Jason Witt,Phil Rowe,Phil Rowe,10.337
Alexis Davis,Julija Stoliarenko,Alexis Davis,16.799
Malcolm Gordon,Denys Bondar,Malcolm Gordon,13.133
Michel Pereira,Andre Fialho,Michel Pereira,20.459
Michael Morales,Trevin Giles,Michael Morales,25.566
Cody Stamann,Said Nurmagomedov,Said Nurmagomedov,20.146
Brandon Moreno,Deiveson Figueiredo,Deiveson Figueiredo,52.603
Tony Gravely,Saimon Oliveira,Tony Gravely,13.554
Francis Ngannou,Ciryl Gane,Francis Ngannou,25.07
Jack Della Maddalena,Pete Rodriguez,Jack Della Maddalena,32.563
Raoni Barcelos,Victor Henry,Victor Henry,25.288
Kay Hansen,Jasmine Jasudavicius,Jasmine Jasudavicius,15.924
Silvana Gomez Juarez,Vanessa Demopoulos,Vanessa Demopoulos,15.585
Matt Frevola,Genaro Valdez,Matt Frevola,23.625
Jake Collier,Chase Sherman,Jake Collier,15.42
Katlyn Chookagian,Jennifer Maia,Katlyn Chookagian,44.43
Brandon Royval,Rogerio Bontorin,Brandon Royval,12.788
Dakota Bush,Viacheslav Borshchev,Viacheslav Borshchev,16.942
Jamie Pickett,Joseph Holmes,Jamie Pickett,21.178
Bill Algeo,Joanderson Brito,Bill Algeo,15.433
Calvin Kattar,Giga Chikadze,Calvin Kattar,21.675
Court McGee,Ramiz Brahimaj,Court McGee,13.468
TJ Brown,Charles Rosa,TJ Brown,13.678
Brian Kelleher,Kevin Croom,Brian Kelleher,14.617
Amanda Lemos,Angela Hill,Amanda Lemos,20.115
Justin Tafa,Harry Hunsucker,Justin Tafa,15.457
Stephen Thompson,Belal Muhammad,Belal Muhammad,15.301
Dustin Stoltzfus,Gerald Meerschaert,Gerald Meerschaert,10.484
