R_fighter,B_fighter,Winner,Excitement
Darren Elkins,Jonathan Pearce,Jonathan Pearce,15.559
Clay Guida,Scott Holtzman,Clay Guida,14.351
Marcelo Rojo,Francis Marshall,Francis Marshall,23.615
Natan Levy,Genaro Valdez,Natan Levy,27.949
Kennedy Nzechukwu,Ion Cutelaba,Kennedy Nzechukwu,11.619
Andre Fialho,Muslim Salikhov,Muslim Salikhov,17.497
Charles Johnson,Zhalgas Zhumagulov,Charles Johnson,22.538
Chase Sherman,Waldo Cortes-Acosta,Waldo Cortes-Acosta,26.539
Vince Morales,Miles Johns,Miles Johns,20.567
Ricky Turcios,Kevin Natividad,Ricky Turcios,14.543
Jack Della Maddalena,Danny Roberts,Jack Della Maddalena,20.936
Jennifer Maia,Maryna Moroz,Jennifer Maia,19.224
Vanessa Demopoulos,Maria Oliveira,Vanessa Demopoulos,18.034
Brady Hiestand,Fernie Garcia,Brady Hiestand,15.311
Natalia Silva,Tereza Bleda,Natalia Silva,21.756
Frankie Edgar,Chris Gutierrez,Chris Gutierrez,18.056
Israel Adesanya,Alex Pereira,Alex Pereira,29.689
Erin Blanchfield,Molly McCann,Erin Blanchfield,20.109
Dan Hooker,Claudio Puelles,Dan Hooker,20.654
Dustin Poirier,Michael Chandler,Dustin Poirier,14.703
Andre Petroski,Wellington Turman,Andre Petroski,12.597
Carla Esparza,Zhang Weili,Zhang Weili,15.444
Matt Frevola,Ottman Azaitar,Matt Frevola,28.103
Dominick Reyes,Ryan Spann,Ryan Spann,21.9
Karolina Kowalkiewicz,Silvana Gomez Juarez,Karolina Kowalkiewicz,15.237
Michael Trizano,SeungWoo Choi,Michael Trizano,22.115
Carlos Ulberg,Nicolae Negumereanu,Carlos Ulberg,32.508
Brad Riddell,Renato Moicano,Renato Moicano,18.911
Julio Arce,Montel Jackson,Montel Jackson,15.852
Polyana Viana,Jinh Yu Frey,Polyana Viana,23.832
Darrick Minner,Shayilan Nuerdanbieke,Shayilan Nuerdanbieke,21.011
Marina Rodriguez,Amanda Lemos,Amanda Lemos,24.625
Neil Magny,Daniel Rodriguez,Neil Magny,22.663
Grant Dawson,Mark Madsen,Grant Dawson,23.551
Tagir Ulanbekov,Nate Maness,Tagir Ulanbekov,18.942
Miranda Maverick,Shanna Young,Miranda Maverick,13.956
Liudvik Sholinian,Johnny Munoz,Johnny Munoz,16.447
Mario Bautista,Benito Lopez,Mario Bautista,27.351
Carlos Candelario,Jake Hadley,Jake Hadley,27.479
Tamires Vidal,Ramona Pascual,Tamires Vidal,20.734
Phil Hawes,Roman Dolidze,Roman Dolidze,25.301
Andrei Arlovski,Marcos Rogerio de Lima,Marcos Rogerio de Lima,9.94
Tim Means,Max Griffin,Max Griffin,15.382
Dustin Jacoby,Khalil Rountree Jr.,Khalil Rountree Jr.,21.214
Joseph Holmes,JunYong Park,JunYong Park,16.288
Chase Hooper,Steve Garcia,Steve Garcia,21.016
Calvin Kattar,Arnold Allen,Arnold Allen,23.813
Waldo Cortes-Acosta,Jared Vanderaa,Waldo Cortes-Acosta,28.478
Josh Fremd,Tresean Gore,Tresean Gore,13.672
Christian Rodriguez,Joshua Weems,Christian Rodriguez,24.033
Cody Durden,Carlos Mota,Cody Durden,15.065
Petr Yan,Sean O'Malley,Sean O'Malley,27.263
