R_fighter,B_fighter,R_record,B_record,Rematch,R_SIG_STR.,B_SIG_STR.,R_CTRL,B_CTRL,win_by,last_round,last_round_time,date,Fight_type,Winner,Excitement
Forrest Griffin,Quinton Jackson,15_4_0,32_7_0,False,77_276,50_138,287,190,Decision - Unanimous,5,300,5-Jul-08,Men's Title Bout,Forrest Griffin,14.06
Patrick Cote,Ricardo Almeida,16_4_0,9_2_0,False,24_64,26_62,105,296,Decision - Split,3,300,5-Jul-08,Men's Bout,Patrick Cote,16.766
Josh Koscheck,Chris Lytle,10_3_0,25_15_5,False,38_58,16_65,598,13,Decision - Unanimous,3,300,5-Jul-08,Men's Bout,Josh Koscheck,13.112
Melvin Guillard,Dennis Siver,23_12_2,12_5_0,False,10_15,0_1,20,0,KO/TKO,1,36,5-Jul-08,Men's Bout,Melvin Guillard,13.027
Joe Stevenson,Gleison Tibau,30_10_0,20_4_0,False,12_27,4_24,194,151,Submission,2,177,5-Jul-08,Men's Bout,Joe Stevenson,9.853
Gabriel Gonzaga,Justin McCully,9_3_0,10_3_2,False,6_8,2_9,76,0,Submission,1,117,5-Jul-08,Men's Bout,Gabriel Gonzaga,13.686
Justin Buchholz,Corey Hill,14_7_0,6_7_0,False,24_80,34_88,11,152,Submission,2,237,5-Jul-08,Men's Bout,Justin Buchholz,14.717
Dustin Hazelett,Joshua Burkman,10_4_0,27_7_0,False,13_43,34_60,42,224,Submission,2,286,21-Jun-08,Men's Bout,Dustin Hazelett,13.681
Spencer Fisher,Jeremy Stephens,20_4_0,15_2_0,False,56_104,23_55,522,154,Decision - Unanimous,3,300,21-Jun-08,Men's Bout,Spencer Fisher,16.999
Diego Sanchez,Luigi Fioravanti,19_2_0,25_13_0,False,51_116,27_80,111,45,KO/TKO,3,247,21-Jun-08,Men's Bout,Diego Sanchez,22.687
Kendall Grove,Evan Tanner,19_13_0,32_7_0,False,59_96,27_47,82,539,Decision - Split,3,300,21-Jun-08,Men's Bout,Kendall Grove,15.182
Dean Lister,Jeremy Horn,12_6_0,91_20_5,False,6_22,2_28,40,75,Submission,1,232,21-Jun-08,Men's Bout,Dean Lister,9.841
Drew McFedries,Marvin Eastman,10_4_0,18_14_1,False,19_32,3_6,5,12,KO/TKO,1,68,21-Jun-08,Men's Bout,Drew McFedries,20.681
Matt Brown,Matt Arroyo,9_6_0,3_1_0,False,32_65,26_64,208,108,KO/TKO,2,220,21-Jun-08,Men's Bout,Matt Brown,16.929
Amir Sadollah,CB Dollaway,0_0_0,6_0_0,False,2_5,6_16,0,133,Submission,1,182,21-Jun-08,Men's Title Bout,Amir Sadollah,17.104
Matthew Riddle,Dante Rivera,1_0_0,16_6_0,False,60_80,34_64,549,149,Decision - Unanimous,3,300,21-Jun-08,Men's Bout,Matthew Riddle,22.271
Rob Kimmons,Rob Yundt,22_5_0,9_4_0,False,9_13,5_6,93,132,Submission,1,238,21-Jun-08,Men's Bout,Rob Kimmons,13.178
Thales Leites,Nate Marquardt,18_2_0,27_8_2,False,13_45,35_72,113,424,Decision - Split,3,300,7-Jun-08,Men's Bout,Thales Leites,15.575
Thiago Alves,Matt Hughes,15_5_0,42_6_0,False,10_16,9_13,87,183,KO/TKO,2,62,7-Jun-08,Men's Bout,Thiago Alves,15.561
Martin Kampmann,Jorge Rivera,12_1_0,16_6_0,False,4_9,2_6,127,3,Submission,1,164,7-Jun-08,Men's Bout,Martin Kampmann,15.412
Kevin Burns,Roan Carneiro,10_4_0,19_7_0,False,8_13,12_30,54,423,Submission,2,230,7-Jun-08,Men's Bout,Kevin Burns,10.742
Michael Bisping,Jason Day,15_1_0,19_10_0,False,25_43,7_12,142,3,KO/TKO,1,222,7-Jun-08,Men's Bout,Michael Bisping,21.568
Matt Wiman,Thiago Tavares,9_3_0,14_1_0,False,18_34,13_35,73,261,KO/TKO,2,117,7-Jun-08,Men's Bout,Matt Wiman,16.983
Mike Swick,Marcus Davis,11_2_0,19_6_0,False,32_86,31_55,520,134,Decision - Unanimous,3,300,7-Jun-08,Men's Bout,Mike Swick,14.218
Fabricio Werdum,Brandon Vera,13_4_1,11_1_0,False,15_36,15_22,133,37,KO/TKO,1,280,7-Jun-08,Men's Bout,Fabricio Werdum,19.713
Paul Taylor,Jess Liaudin,8_3_1,20_9_0,False,45_86,35_70,189,537,Decision - Split,3,300,7-Jun-08,Men's Bout,Paul Taylor,11.752
Antoni Hardonk,Eddie Sanchez,6_4_0,15_6_0,False,48_75,33_67,43,291,KO/TKO,2,255,7-Jun-08,Men's Bout,Antoni Hardonk,16.16
Luiz Cane,Jason Lambert,13_3_0,26_11_0,False,15_28,8_23,54,14,KO/TKO,1,127,7-Jun-08,Men's Bout,Luiz Cane,15.741
Wanderlei Silva,Keith Jardine,31_9_1,16_6_2,False,11_18,1_4,9,0,KO/TKO,1,36,24-May-08,Men's Bout,Wanderlei Silva,18.465
BJ Penn,Sean Sherk,12_4_1,34_2_1,False,122_175,46_162,7,0,KO/TKO,3,300,24-May-08,Men's Title Bout,BJ Penn,28.387
Rousimar Palhares,Ivan Salaverry,11_4_0,14_8_0,False,0_0,1_1,137,0,Submission,1,156,24-May-08,Men's Bout,Rousimar Palhares,2.548
Rameau Thierry Sokoudjou,Kazuhiro Nakamura,17_17_0,21_12_0,False,26_46,6_23,3,0,KO/TKO,1,300,24-May-08,Men's Bout,Rameau Thierry Sokoudjou,21.485
Thiago Silva,Antonio Mendes,15_3_0,18_11_0,False,19_23,5_12,87,22,KO/TKO,1,144,24-May-08,Men's Bout,Thiago Silva,16.663
Rich Clementi,Terry Etim,44_21_1,11_1_0,False,20_47,23_61,593,48,Decision - Unanimous,3,300,24-May-08,Men's Bout,Rich Clementi,16.575
Goran Reljic,Wilson Gouveia,14_5_0,12_5_0,False,33_63,33_73,68,70,KO/TKO,2,195,24-May-08,Men's Bout,Goran Reljic,18.915
Shane Carwin,Christian Wellisch,8_0_0,8_3_0,False,5_14,2_11,0,0,KO/TKO,1,44,24-May-08,Men's Bout,Shane Carwin,25.508
Lyoto Machida,Tito Ortiz,12_0_0,18_6_1,False,41_60,16_53,175,19,Decision - Unanimous,3,300,24-May-08,Men's Bout,Lyoto Machida,27.32
Dong Hyun Kim,Jason Tan,9_0_1,5_2_0,False,77_92,2_14,450,109,KO/TKO,3,25,24-May-08,Men's Bout,Dong Hyun Kim,16.523
Yoshiyuki Yoshida,War Machine,16_6_0,14_4_0,False,1_3,1_2,38,0,Submission,1,56,24-May-08,Men's Bout,Yoshiyuki Yoshida,10.609
Georges St-Pierre,Matt Serra,15_2_0,10_4_0,True,42_54,3_18,492,0,KO/TKO,2,285,19-Apr-08,Men's Title Bout,Georges St-Pierre,43.34
Jason Day,Alan Belcher,18_10_0,12_4_0,False,29_43,3_8,0,162,KO/TKO,1,238,19-Apr-08,Men's Bout,Jason Day,14.242
Nate Quarry,Kalib Starnes,9_2_0,17_10_1,False,84_164,12_53,0,41,Decision - Unanimous,3,300,19-Apr-08,Men's Bout,Nate Quarry,22.782
Rich Franklin,Travis Lutter,24_3_0,10_5_0,False,28_43,1_9,126,202,KO/TKO,2,181,19-Apr-08,Men's Bout,Rich Franklin,14.843
Cain Velasquez,Brad Morris,2_0_0,10_4_0,False,36_55,1_4,108,0,KO/TKO,1,130,19-Apr-08,Men's Bout,Cain Velasquez,17.74
Jason MacDonald,Joe Doerksen,22_10_0,50_13_0,False,13_17,4_6,91,227,KO/TKO,2,54,19-Apr-08,Men's Bout,Jason MacDonald,14.288
Michael Bisping,Charles McCarthy,14_1_0,10_4_0,False,39_90,1_12,72,62,KO/TKO,1,300,19-Apr-08,Men's Bout,Michael Bisping,18.625
Mac Danzig,Mark Bocek,17_4_1,5_1_0,False,46_88,22_77,287,293,Submission,3,228,19-Apr-08,Men's Bout,Mac Danzig,16.088
Rich Clementi,Sam Stout,43_21_1,13_3_1,False,40_102,48_176,323,11,Decision - Split,3,300,19-Apr-08,Men's Bout,Rich Clementi,15.081
Jonathan Goulet,Kuniyoshi Hironaka,22_10_0,23_8_0,False,31_78,21_50,20,77,KO/TKO,2,127,19-Apr-08,Men's Bout,Jonathan Goulet,17.484
Demian Maia,Ed Herman,7_0_0,17_6_0,False,15_21,15_32,184,228,Submission,2,147,19-Apr-08,Men's Bout,Demian Maia,19.298
Kenny Florian,Joe Lauzon,8_3_0,16_4_0,False,35_74,5_12,224,111,KO/TKO,2,208,2-Apr-08,Men's Bout,Kenny Florian,12.426
Nate Diaz,Kurt Pellegrino,9_2_0,12_4_0,False,6_17,20_34,82,341,Submission,2,186,2-Apr-08,Men's Bout,Nate Diaz,11.377
Matt Hamill,Tim Boetsch,5_4_0,10_1_0,False,31_71,18_58,157,2,KO/TKO,2,85,2-Apr-08,Men's Bout,Matt Hamill,20.324
James Irvin,Houston Alexander,16_7_0,17_12_1,False,3_4,0_1,2,0,KO/TKO,1,8,2-Apr-08,Men's Bout,James Irvin,17.962
Thiago Alves,Karo Parisyan,14_5_0,24_9_0,False,17_48,10_45,2,115,KO/TKO,2,24,2-Apr-08,Men's Bout,Thiago Alves,13.423
Josh Neer,Din Thomas,32_10_1,26_8_0,False,80_164,20_84,492,93,Decision - Unanimous,3,300,2-Apr-08,Men's Bout,Josh Neer,11.182
