R_fighter                 ,B_fighter                 ,R_record  ,B_record  ,Rematch ,R_KD ,B_KD ,R_SIG_STR. ,B_SIG_STR. ,R_TOTAL_STR. ,B_TOTAL_STR. ,R_TD     ,B_TD     ,R_SUB_ATT ,B_SUB_ATT ,R_CTRL ,B_CTRL ,R_HEAD  ,B_HEAD  ,win_by                  ,last_round ,last_round_time ,Format               ,date      ,Fight_type         ,Winner
Ricardo Lamas             ,Mirsad Bektic             ,18_6_0    ,12_1_0    ,False   ,   0 ,   0 ,34_62      ,31_89      ,69_97        ,97_174       ,0 of 4   ,2 of 4   ,        2 ,        0 ,    54 ,   515 ,8_34    ,12_65   ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,9-Jun-18  ,Men's Bout         ,Mirsad Bektic
Rafael Dos Anjos          ,Colby Covington           ,28_9_0    ,13_1_0    ,False   ,   0 ,   0 ,105_198    ,99_296     ,130_223      ,142_346      ,3 of 6   ,7 of 18  ,        0 ,        0 ,   134 ,   757 ,54_139  ,54_229  ,Decision - Unanimous    ,         5 ,            300 ,5 Rnd (5-5-5-5-5)    ,9-Jun-18  ,Men's Title Bout   ,Colby Covington
Robert Whittaker          ,Yoel Romero               ,20_4_0    ,13_2_0    ,True    ,   0 ,   2 ,128_326    ,111_240    ,129_328      ,149_287      ,0 of 1   ,3 of 10  ,        0 ,        0 ,    37 ,   261 ,57_225  ,76_194  ,Decision - Split        ,         5 ,            300 ,5 Rnd (5-5-5-5-5)    ,9-Jun-18  ,Men's Bout         ,Robert Whittaker
Joseph Benavidez          ,Sergio Pettis             ,25_4_0    ,16_3_0    ,False   ,   0 ,   0 ,59_186     ,74_168     ,86_216       ,87_183       ,2 of 14  ,0 of 0   ,        0 ,        0 ,   264 ,     0 ,28_128  ,69_155  ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,9-Jun-18  ,Men's Bout         ,Sergio Pettis
Holly Holm                ,Megan Anderson            ,11_3_0    ,8_2_0     ,False   ,   0 ,   0 ,47_71      ,26_58      ,143_176      ,48_81        ,4 of 8   ,0 of 0   ,        1 ,        0 ,   643 ,     0 ,27_47   ,15_42   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,9-Jun-18  ,Women's Bout       ,Holly Holm
Clay Guida                ,Charles Oliveira          ,34_14_0   ,22_8_0    ,False   ,   0 ,   0 ,9_25       ,14_29      ,9_25         ,14_29        ,0 of 1   ,0 of 0   ,        0 ,        1 ,     0 ,     2 ,4_20    ,6_18    ,Submission              ,         1 ,            138 ,3 Rnd (5-5-5)        ,9-Jun-18  ,Men's Bout         ,Charles Oliveira
Rashad Evans              ,Anthony Smith             ,19_7_1    ,30_13_0   ,False   ,   0 ,   1 ,1_6        ,6_9        ,2_7          ,6_9          ,0 of 1   ,0 of 1   ,        0 ,        0 ,    15 ,     4 ,1_6     ,4_7     ,KO/TKO                  ,         1 ,             53 ,3 Rnd (5-5-5)        ,9-Jun-18  ,Men's Bout         ,Anthony Smith
Mike Santiago             ,Dan Ige                   ,19_11_0   ,8_3_0     ,False   ,   0 ,   0 ,0_1        ,25_27      ,0_1          ,29_32        ,0 of 0   ,1 of 1   ,        0 ,        0 ,     0 ,    32 ,0_1     ,25_27   ,KO/TKO                  ,         1 ,             50 ,3 Rnd (5-5-5)        ,9-Jun-18  ,Men's Bout         ,Dan Ige
Jimmie Rivera             ,Marlon Moraes             ,21_1_0    ,20_5_1    ,False   ,   0 ,   1 ,0_3        ,7_9        ,0_3          ,7_9          ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,     0 ,0_3     ,6_8     ,KO/TKO                  ,         1 ,             33 ,5 Rnd (5-5-5-5-5)    ,1-Jun-18  ,Men's Bout         ,Marlon Moraes
Gregor Gillespie          ,Vinc Pichel               ,11_0_0    ,11_1_0    ,False   ,   0 ,   0 ,13_26      ,7_22       ,30_48        ,35_51        ,7 of 9   ,0 of 0   ,        2 ,        0 ,   471 ,     0 ,11_24   ,6_21    ,Submission              ,         2 ,            246 ,3 Rnd (5-5-5)        ,1-Jun-18  ,Men's Bout         ,Gregor Gillespie
